id,value
id_0,26
id_1,61
id_2,19
id_3,29
id_4,10
id_5,35
id_6,38
id_7,15
id_8,47
id_9,32
id_10,36
id_11,60
id_12,36
id_13,40
id_14,28
id_15,14
id_16,54
id_17,23
id_18,18
id_19,20
id_20,15
id_21,30
id_22,38
id_23,11
id_24,55
id_25,44
id_26,27
id_27,8
id_28,29
id_29,34
id_30,18
id_31,11
id_32,16
id_33,8
id_34,18
id_35,40
id_36,19
id_37,26
id_38,8
id_39,59
id_40,46
id_41,19
id_42,50
id_43,18
id_44,44
id_45,51
id_46,59
id_47,41
id_48,50
id_49,42
id_50,30
id_51,24
id_52,40
id_53,24
id_54,36
id_55,39
id_56,24
id_57,22
id_58,36
id_59,31
id_60,15
id_61,23
id_62,31
id_63,53
id_64,48
id_65,25
id_66,40
id_67,52
id_68,27
id_69,37
id_70,63
id_71,54
id_72,42
id_73,13
id_74,11
id_75,36
id_76,60
id_77,3
id_78,44
id_79,42
id_80,9
id_81,23
id_82,7
id_83,35
id_84,11
id_85,5
id_86,16
id_87,11
id_88,13
id_89,27
id_90,32
id_91,12
id_92,14
id_93,9
id_94,36
id_95,15
id_96,16
id_97,9
id_98,10
id_99,5
id_100,12
id_101,19
id_102,11
id_103,7
id_104,13
id_105,37
id_106,25
id_107,8
id_108,18
id_109,16
id_110,13
id_111,16
id_112,14
id_113,28
id_114,22
id_115,16
id_116,8
id_117,44
id_118,28
id_119,1
id_120,2
id_121,13
id_122,14
id_123,15
id_124,6
id_125,26
id_126,23
id_127,12
id_128,21
id_129,17
id_130,4
id_131,35
id_132,14
id_133,23
id_134,25
id_135,23
id_136,9
id_137,21
id_138,79
id_139,63
id_140,27
id_141,19
id_142,25
id_143,8
id_144,12
id_145,10
id_146,19
id_147,7
id_148,14
id_149,17
id_150,51
id_151,20
id_152,22
id_153,16
id_154,14
id_155,25
id_156,26
id_157,37
id_158,3
id_159,23
id_160,45
id_161,19
id_162,60
id_163,18
id_164,35
id_165,22
id_166,21
id_167,1
id_168,67
id_169,18
id_170,17
id_171,71
id_172,20
id_173,2
id_174,21
id_175,2
id_176,8
id_177,18
id_178,19
id_179,23
id_180,42
id_181,30
id_182,27
id_183,12
id_184,9
id_185,41
id_186,35
id_187,33
id_188,16
id_189,24
id_190,13
id_191,14
id_192,32
id_193,75
id_194,30
id_195,12
id_196,62
id_197,16
id_198,19
id_199,22
id_200,123
id_201,25
id_202,60
id_203,6
id_204,60
id_205,35
id_206,16
id_207,14
id_208,61
id_209,16
id_210,31
id_211,69
id_212,20
id_213,119
id_214,41
id_215,79
id_216,92
id_217,71
id_218,29
id_219,20
id_220,30
id_221,55
id_222,28
id_223,39
id_224,43
id_225,7
id_226,4
id_227,69
id_228,28
id_229,1
id_230,37
id_231,14
id_232,20
id_233,9
id_234,11
id_235,23
id_236,12
id_237,0
id_238,22
id_239,4
